@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
138384 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
55696 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
24964 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
112896 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
14400 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
