@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
76 ,BaseLine
20 ,BaseLine
20 ,BaseLine
20 ,BaseLine
20 ,BaseLine
20 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
52 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
56 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
538 ,BaseLine
